,train_name,train_number,source,destination,distance,total_time,departure,arrival
905,Nanded-Pune SuperFast Express,12730,HUZUR SAHIB NANDED,PUNE JN,662,0 days 12:00:00,21:20:00,09:20:00
906,Sangrami SF Expres,12755,CHENNAI CENTRAL,Haldia,1647,1 days 03:35:00,14:35:00,18:10:00
907,Sangrami Expres,12756,Haldia,CHENNAI CENTRAL,1647,1 days 05:30:00,11:30:00,17:00:00
908,Charminar Express,12759,CHENNAI CENTRAL,HYDERABAD DECCAN,790,0 days 13:50:00,18:10:00,08:00:00
909,Charminar Express,12760,HYDERABAD DECCAN,CHENNAI CENTRAL,790,0 days 13:45:00,18:30:00,08:15:00
910,Kacheguda-Bangalore SF Express,12785,KACHEGUDA,BANGALORE CITY JN,625,0 days 11:20:00,19:05:00,06:25:00
911,Rameswaram Kanyakumari SF Express,12789,RAMESWARAM,KANYAKUMARI,407,0 days 07:20:00,20:45:00,04:05:00
912,Kanyakumari Rameswaram SF Express,12790,KANYAKUMARI,RAMESWARAM,407,0 days 07:20:00,22:00:00,05:20:00
913,SECUNDERABAD - DANAPUR SF EXP,12791,SECUNDERABAD JN,DANAPUR,1840,1 days 09:10:00,10:00:00,19:10:00
914,DANAPUR - SECUNDERABAD SF EXP,12792,DANAPUR,SECUNDERABAD JN,1840,1 days 09:25:00,12:05:00,21:30:00
915,Chennai Egmore Madurai BI-Weekly Superfast Express,12793,CHENNAI EGMORE,MADURAI JN,561,0 days 10:05:00,22:45:00,08:50:00
916,Madurai Chennai Egmore BI-Weekly Superfast Express,12794,MADURAI JN,CHENNAI EGMORE,561,0 days 10:10:00,21:10:00,07:20:00
917,Purushottam SF Express,12802,NEW DELHI,PURI,1863,1 days 07:00:00,22:20:00,05:20:00
918,Janmabhoomi Express,12805,VISHAKAPATNAM,SECUNDERABAD JN,689,0 days 12:25:00,06:00:00,18:25:00
919,Janmabhoomi Express,12806,SECUNDERABAD JN,VISHAKAPATNAM,689,0 days 12:30:00,07:10:00,19:40:00
